Residue	a0	a1	a2	a3	a4	a5	a6	χ2	C [%]	RMS [%]
ALA	0.03900	0.04200	0.00810	−2.7	0.00000	0.00000	0.00000	0.00081	95.00000	0.11000
ARG	0.05500	−0.057	0.00390	0.80000	0.05000	0.00900	17.00000	0.00228	96.00000	1.07000
ASN	0.05100	−0.040	0.00750	−1.6	0.00000	0.00000	0.00000	0.00426	81.00000	0.26000
ASP	0.06400	−0.063	0.00280	1.10000	0.02600	0.02000	25.40000	0.00262	96.00000	0.33000
GLN	0.05400	−0.047	0.00710	0.00000	0.00000	0.00000	0.00000	0.00173	93.00000	0.33000
GLU	0.06600	−0.064	0.00280	−0.7	0.01200	0.01500	29.40000	0.00435	94.00000	0.34000
GLY	0.04000	0.02800	0.00600	−3.5	0.00000	0.00000	0.00000	0.00233	80.00000	0.19000
HIS	0.02500	0.05600	0.00900	−20.0	0.04000	0.01500	15.00000	0.01020	68.00000	0.45000
ILE	0.03400	0.07100	0.00580	−0.4	0.00000	0.00000	0.00000	0.00178	97.00000	0.17000
LEU	0.03200	0.06200	0.00490	−0.1	0.00000	0.00000	0.00000	0.00141	97.00000	0.16000
LYS	0.06100	−0.060	0.00290	−2.8	0.03500	0.01500	23.60000	0.00209	97.00000	0.24000
MET	0.03400	0.05000	0.00420	0.50000	0.00000	0.00000	0.00000	0.00281	91.00000	0.22000
PHE	0.02400	0.07500	0.00290	−1.5	0.00000	0.00000	0.00000	0.00246	96.00000	0.25000
PRO	0.06100	−0.041	0.00510	−1.1	0.00000	0.00000	0.00000	0.00534	79.00000	0.25000
TRP	0.02800	0.06400	0.01430	−14.1	0.06400	0.01500	12.70000	0.00216	96.00000	0.20000
TYR	0.03000	0.04500	0.01200	−16.0	0.03000	0.02000	13.70000	0.00880	55.00000	0.26000
VAL	0.03500	0.05700	0.00840	−0.4	0.00000	0.00000	0.00000	0.00394	89.00000	0.20000